Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 46, 0, 0.801, 0.801, 0.801, 0, 1, 0.801, 0.893, 0.092, 598145, -1, 0.893, 1.163, 0.269, 889,     0.362,
 63, 0, 1.033, 1.033, 1.043, 0.01, 1, 1.043, 1.112, 0.069, 776640, -1, 1.112, 1.183, 0.071, 757,     0.150,
 67, 0, 1.114, 1.114, 1.114, 0, 1, 1.114, 1.142, 0.028, 334676, -1, 1.142, 1.193, 0.05, 573,     0.078,
 66, 0, 1.109, 1.109, 1.109, 0, 1, 1.109, 1.122, 0.013, 166338, -1, 1.122, 1.213, 0.091, 454,     0.103,
 59, 0, 0.976, 0.976, 0.984, 0.008, 1, 0.984, 1.004, 0.02, 190303, -1, 1.004, 1.223, 0.219, 710,     0.247,
 69, 0, 1.183, 1.183, 1.183, 0, 1, 1.183, 1.205, 0.021, 398668, -1, 1.205, 1.257, 0.053, 546,     0.074,
 55, 0, 0.907, 0.907, 0.907, 0, 1, 0.907, 1.013, 0.106, 787052, -1, 1.013, 1.274, 0.26, 486,     0.366,
 61, 0, 1.006, 1.006, 1.006, 0, 1, 1.006, 1.02, 0.015, 213335, -1, 1.02, 1.274, 0.253, 955,     0.268,
 70, 0, 1.184, 1.184, 1.184, 0, 1, 1.184, 1.195, 0.01, 182589, -1, 1.195, 1.294, 0.099, 844,     0.109,
 65, 0, 1.078, 1.078, 1.078, 0, 1, 1.078, 1.132, 0.054, 586394, -1, 1.132, 1.294, 0.161, 925,     0.215,
 71, 0, 1.219, 1.219, 1.219, 0, 1, 1.219, 1.229, 0.011, 109742, -1, 1.229, 1.327, 0.098, 955,     0.108,
 64, 0, 1.051, 1.051, 1.051, 0, 1, 1.051, 1.122, 0.071, 728129, -1, 1.122, 1.337, 0.214, 579,     0.285,
 72, 0, 1.23, 1.23, 1.23, 0, 1, 1.23, 1.264, 0.034, 670426, -1, 1.264, 1.347, 0.083, 687,     0.117,
 68, 0, 1.15, 1.15, 1.15, 0, 1, 1.15, 1.168, 0.018, 348811, -1, 1.168, 1.347, 0.179, 523,     0.197,
 73, 0, 1.298, 1.298, 1.298, 0, 1, 1.298, 1.329, 0.031, 480915, -1, 1.329, 1.421, 0.092, 839,     0.123,
 76, 0, 1.328, 1.328, 1.328, 0, 1, 1.328, 1.369, 0.04, 398770, -1, 1.369, 1.421, 0.052, 496,     0.092,
 74, 0, 1.307, 1.307, 1.317, 0.01, 1, 1.317, 1.401, 0.084, 661959, -1, 1.401, 1.469, 0.068, 749,     0.162,
 75, 0, 1.328, 1.328, 1.328, 0, 1, 1.328, 1.41, 0.082, 612231, -1, 1.41, 1.479, 0.069, 690,     0.151,
 81, 0, 1.384, 1.384, 1.394, 0.01, 1, 1.394, 1.411, 0.016, 117891, -1, 1.411, 1.493, 0.082, 724,     0.109,
 78, 0, 1.349, 1.349, 1.349, 0, 1, 1.349, 1.431, 0.082, 774923, -1, 1.431, 1.513, 0.082, 666,     0.164,
 82, 0, 1.404, 1.404, 1.404, 0, 1, 1.404, 1.452, 0.047, 611982, -1, 1.452, 1.534, 0.083, 851,     0.130,
 85, 0, 1.481, 1.481, 1.481, 0, 1, 1.481, 1.521, 0.04, 784444, -1, 1.521, 1.577, 0.056, 542,     0.096,
 84, 0, 1.444, 1.444, 1.454, 0.01, 1, 1.454, 1.484, 0.03, 590315, -1, 1.484, 1.577, 0.092, 974,     0.132,
 80, 0, 1.374, 1.374, 1.374, 0, 1, 1.374, 1.421, 0.047, 615447, -1, 1.421, 1.577, 0.155, 751,     0.203,
 77, 0, 1.343, 1.343, 1.343, 0, 1, 1.343, 1.432, 0.089, 694959, -1, 1.432, 1.577, 0.145, 846,     0.234,
 87, 0, 1.524, 1.524, 1.534, 0.01, 1, 1.534, 1.552, 0.018, 348062, -1, 1.552, 1.639, 0.087, 614,     0.115,
 88, 0, 1.551, 1.551, 1.551, 0, 1, 1.551, 1.563, 0.012, 234168, -1, 1.563, 1.649, 0.086, 836,     0.098,
 83, 0, 1.438, 1.438, 1.438, 0, 1, 1.438, 1.455, 0.017, 310086, -1, 1.455, 1.659, 0.204, 760,     0.221,
 79, 0, 1.362, 1.362, 1.362, 0, 1, 1.362, 1.438, 0.077, 573203, -1, 1.438, 1.679, 0.24, 970,     0.317,
 90, 0, 1.577, 1.577, 1.577, 0, 1, 1.577, 1.588, 0.01, 125794, -1, 1.588, 1.699, 0.111, 583,     0.121,
 91, 0, 1.583, 1.583, 1.583, 0, 1, 1.583, 1.598, 0.015, 115803, -1, 1.598, 1.719, 0.121, 703,     0.136,
 86, 0, 1.487, 1.487, 1.487, 0, 1, 1.487, 1.501, 0.014, 264295, -1, 1.501, 1.732, 0.231, 669,     0.245,
 93, 0, 1.634, 1.634, 1.634, 0, 1, 1.634, 1.66, 0.026, 366762, -1, 1.66, 1.732, 0.073, 738,     0.099,
 95, 0, 1.649, 1.649, 1.649, 0, 1, 1.649, 1.67, 0.021, 342923, -1, 1.67, 1.788, 0.118, 865,     0.139,
 89, 0, 1.563, 1.563, 1.563, 0, 1, 1.563, 1.598, 0.034, 485959, -1, 1.598, 1.788, 0.19, 513,     0.224,
 96, 0, 1.654, 1.654, 1.654, 0, 1, 1.654, 1.699, 0.045, 718663, -1, 1.699, 1.788, 0.089, 535,     0.134,
 92, 0, 1.619, 1.619, 1.629, 0.01, 1, 1.629, 1.66, 0.031, 414524, -1, 1.66, 1.808, 0.148, 848,     0.189,
 97, 0, 1.716, 1.716, 1.716, 0, 1, 1.716, 1.753, 0.037, 734008, -1, 1.753, 1.841, 0.088, 921,     0.125,
 100, 0, 1.781, 1.781, 1.781, 0, 1, 1.781, 1.791, 0.01, 151452, -1, 1.791, 1.841, 0.049, 487,     0.060,
 98, 0, 1.733, 1.733, 1.733, 0, 1, 1.733, 1.765, 0.033, 646221, -1, 1.765, 1.841, 0.076, 692,     0.108,
 94, 0, 1.644, 1.644, 1.644, 0, 1, 1.644, 1.689, 0.045, 731746, -1, 1.689, 1.885, 0.196, 777,     0.241,
 99, 0, 1.745, 1.745, 1.755, 0.01, 1, 1.755, 1.777, 0.023, 448583, -1, 1.777, 1.903, 0.126, 512,     0.158,
 101, 0, 1.788, 1.788, 1.798, 0.01, 1, 1.798, 1.825, 0.027, 530580, -1, 1.825, 1.903, 0.078, 856,     0.116,
 102, 0, 1.795, 1.795, 1.795, 0, 1, 1.795, 1.835, 0.04, 597086, -1, 1.835, 1.929, 0.094, 961,     0.134,
 105, 0, 1.864, 1.864, 1.874, 0.01, 1, 1.874, 1.908, 0.035, 684129, -1, 1.908, 1.979, 0.071, 752,     0.115,
 103, 0, 1.831, 1.831, 1.841, 0.01, 1, 1.841, 1.878, 0.037, 521342, -1, 1.878, 1.999, 0.121, 704,     0.168,
 110, 0, 1.945, 1.945, 1.945, 0, 1, 1.945, 1.952, 0.007, 126716, -1, 1.952, 2.019, 0.067, 628,     0.074,
 108, 0, 1.929, 1.929, 1.929, 0, 1, 1.929, 1.984, 0.055, 477871, -1, 1.984, 2.029, 0.045, 482,     0.100,
 112, 0, 1.972, 1.972, 1.972, 0, 1, 1.972, 2.017, 0.045, 344844, -1, 2.017, 2.052, 0.035, 426,     0.080,
 114, 0, 1.989, 1.989, 1.989, 0, 1, 1.989, 2.015, 0.026, 159887, -1, 2.015, 2.065, 0.05, 519,     0.076,
 104, 0, 1.857, 1.857, 1.857, 0, 1, 1.857, 1.889, 0.032, 394977, -1, 1.889, 2.085, 0.196, 700,     0.228,
 107, 0, 1.925, 1.925, 1.925, 0, 1, 1.925, 1.984, 0.059, 529864, -1, 1.984, 2.113, 0.129, 748,     0.189,
 113, 0, 1.973, 1.973, 1.973, 0, 1, 1.973, 2.045, 0.072, 730589, -1, 2.045, 2.124, 0.079, 763,     0.151,
 106, 0, 1.889, 1.889, 1.889, 0, 1, 1.889, 1.919, 0.03, 590808, -1, 1.919, 2.129, 0.211, 401,     0.241,
 119, 0, 2.057, 2.057, 2.057, 0, 1, 2.057, 2.093, 0.036, 725311, -1, 2.093, 2.134, 0.041, 422,     0.078,
 117, 0, 2.012, 2.012, 2.012, 0, 1, 2.012, 2.055, 0.043, 558728, -1, 2.055, 2.144, 0.089, 709,     0.132,
 109, 0, 1.944, 1.944, 1.944, 0, 1, 1.944, 2.035, 0.091, 737625, -1, 2.035, 2.154, 0.119, 970,     0.210,
 118, 0, 2.016, 2.016, 2.016, 0, 1, 2.016, 2.065, 0.048, 751616, -1, 2.065, 2.164, 0.1, 974,     0.148,
 115, 0, 1.99, 1.99, 1.99, 0, 1, 1.99, 2.025, 0.035, 189947, -1, 2.025, 2.184, 0.159, 541,     0.194,
 111, 0, 1.969, 1.969, 1.973, 0.004, 1, 1.973, 2.013, 0.039, 278559, -1, 2.013, 2.194, 0.182, 714,     0.225,
 116, 0, 2.009, 2.009, 2.009, 0, 1, 2.009, 2.065, 0.056, 308681, -1, 2.065, 2.214, 0.149, 851,     0.205,
 125, 0, 2.164, 2.164, 2.164, 0, 1, 2.164, 2.182, 0.018, 175360, -1, 2.182, 2.224, 0.043, 483,     0.061,
 121, 0, 2.074, 2.074, 2.074, 0, 1, 2.074, 2.113, 0.039, 757815, -1, 2.113, 2.247, 0.133, 623,     0.173,
 120, 0, 2.072, 2.072, 2.072, 0, 1, 2.072, 2.103, 0.031, 586756, -1, 2.103, 2.261, 0.158, 975,     0.189,
 123, 0, 2.124, 2.124, 2.134, 0.01, 1, 2.134, 2.172, 0.037, 741367, -1, 2.172, 2.309, 0.137, 948,     0.185,
 133, 0, 2.252, 2.252, 2.252, 0, 1, 2.252, 2.272, 0.02, 176000, -1, 2.272, 2.32, 0.048, 428,     0.068,
 122, 0, 2.111, 2.111, 2.111, 0, 1, 2.111, 2.129, 0.018, 317307, -1, 2.129, 2.32, 0.19, 690,     0.209,
 129, 0, 2.205, 2.205, 2.205, 0, 1, 2.205, 2.273, 0.068, 778864, -1, 2.273, 2.339, 0.066, 679,     0.134,
 124, 0, 2.153, 2.153, 2.153, 0, 1, 2.153, 2.201, 0.048, 780988, -1, 2.201, 2.339, 0.138, 976,     0.186,
 126, 0, 2.19, 2.19, 2.19, 0, 1, 2.19, 2.205, 0.015, 246424, -1, 2.205, 2.358, 0.153, 780,     0.168,
 128, 0, 2.201, 2.201, 2.201, 0, 1, 2.201, 2.225, 0.023, 183698, -1, 2.225, 2.382, 0.157, 633,     0.181,
 135, 0, 2.261, 2.261, 2.271, 0.01, 1, 2.271, 2.329, 0.058, 696355, -1, 2.329, 2.382, 0.052, 567,     0.121,
 132, 0, 2.221, 2.221, 2.221, 0, 1, 2.221, 2.329, 0.109, 711579, -1, 2.329, 2.424, 0.095, 993,     0.203,
 131, 0, 2.215, 2.215, 2.215, 0, 1, 2.215, 2.32, 0.105, 731118, -1, 2.32, 2.424, 0.104, 841,     0.209,
 137, 0, 2.281, 2.281, 2.291, 0.01, 1, 2.291, 2.358, 0.067, 662419, -1, 2.358, 2.434, 0.076, 663,     0.153,
 138, 0, 2.287, 2.287, 2.287, 0, 1, 2.287, 2.368, 0.081, 435982, -1, 2.368, 2.434, 0.066, 580,     0.147,
 136, 0, 2.275, 2.275, 2.275, 0, 1, 2.275, 2.392, 0.117, 714195, -1, 2.392, 2.466, 0.074, 733,     0.191,
 130, 0, 2.21, 2.21, 2.21, 0, 1, 2.21, 2.252, 0.042, 288126, -1, 2.252, 2.476, 0.224, 893,     0.266,
 139, 0, 2.37, 2.37, 2.37, 0, 1, 2.37, 2.431, 0.062, 511678, -1, 2.431, 2.476, 0.045, 501,     0.107,
 134, 0, 2.257, 2.257, 2.257, 0, 1, 2.257, 2.382, 0.125, 758485, -1, 2.382, 2.532, 0.15, 993,     0.276,
 141, 0, 2.404, 2.404, 2.414, 0.01, 1, 2.414, 2.458, 0.044, 292764, -1, 2.458, 2.564, 0.106, 977,     0.160,
 127, 0, 2.196, 2.196, 2.196, 0, 1, 2.196, 2.263, 0.067, 715121, -1, 2.263, 2.581, 0.317, 896,     0.385,
 144, 0, 2.456, 2.456, 2.466, 0.01, 1, 2.466, 2.494, 0.028, 269151, -1, 2.494, 2.601, 0.107, 991,     0.144,
 146, 0, 2.494, 2.494, 2.494, 0, 1, 2.494, 2.508, 0.015, 281934, -1, 2.508, 2.621, 0.112, 989,     0.127,
 145, 0, 2.49, 2.49, 2.49, 0, 1, 2.49, 2.508, 0.018, 121018, -1, 2.508, 2.621, 0.113, 949,     0.130,
 143, 0, 2.439, 2.439, 2.439, 0, 1, 2.439, 2.478, 0.039, 346469, -1, 2.478, 2.661, 0.183, 785,     0.222,
 147, 0, 2.522, 2.522, 2.532, 0.01, 1, 2.532, 2.581, 0.049, 768805, -1, 2.581, 2.661, 0.08, 788,     0.139,
 142, 0, 2.408, 2.408, 2.408, 0, 1, 2.408, 2.467, 0.059, 388870, -1, 2.467, 2.661, 0.194, 881,     0.253,
 149, 0, 2.583, 2.583, 2.583, 0, 1, 2.583, 2.644, 0.061, 556406, -1, 2.644, 2.712, 0.068, 575,     0.129,
 148, 0, 2.567, 2.567, 2.567, 0, 1, 2.567, 2.624, 0.056, 582141, -1, 2.624, 2.712, 0.089, 426,     0.145,
 151, 0, 2.641, 2.641, 2.651, 0.01, 1, 2.651, 2.658, 0.007, 109621, -1, 2.658, 2.748, 0.09, 922,     0.107,
 152, 0, 2.658, 2.658, 2.658, 0, 1, 2.658, 2.693, 0.035, 694300, -1, 2.693, 2.758, 0.065, 589,     0.100,
 140, 0, 2.375, 2.375, 2.375, 0, 1, 2.375, 2.488, 0.113, 785750, -1, 2.488, 2.758, 0.27, 902,     0.383,
 153, 0, 2.668, 2.668, 2.668, 0, 1, 2.668, 2.702, 0.034, 535688, -1, 2.702, 2.818, 0.115, 974,     0.149,
 150, 0, 2.624, 2.624, 2.624, 0, 1, 2.624, 2.652, 0.028, 282052, -1, 2.652, 2.818, 0.166, 516,     0.194,
 154, 0, 2.728, 2.728, 2.738, 0.01, 1, 2.738, 2.768, 0.03, 595245, -1, 2.768, 2.87, 0.101, 945,     0.142,
 155, 0, 2.76, 2.76, 2.76, 0, 1, 2.76, 2.789, 0.03, 354574, -1, 2.789, 2.88, 0.09, 818,     0.120,
 156, 0, 2.768, 2.768, 2.768, 0, 1, 2.768, 2.808, 0.04, 298319, -1, 2.808, 2.89, 0.081, 802,     0.121,
 159, 0, 2.784, 2.784, 2.784, 0, 1, 2.784, 2.829, 0.045, 349353, -1, 2.829, 2.89, 0.061, 518,     0.106,
 163, 0, 2.837, 2.837, 2.837, 0, 1, 2.837, 2.873, 0.036, 231149, -1, 2.873, 2.91, 0.037, 405,     0.073,
 162, 0, 2.816, 2.816, 2.816, 0, 1, 2.816, 2.85, 0.034, 329031, -1, 2.85, 2.921, 0.072, 498,     0.105,
 158, 0, 2.782, 2.782, 2.782, 0, 1, 2.782, 2.829, 0.047, 364138, -1, 2.829, 2.931, 0.103, 420,     0.149,
 157, 0, 2.779, 2.779, 2.789, 0.01, 1, 2.789, 2.839, 0.05, 670760, -1, 2.839, 2.941, 0.102, 591,     0.162,
 161, 0, 2.809, 2.809, 2.809, 0, 1, 2.809, 2.897, 0.088, 694989, -1, 2.897, 2.997, 0.1, 707,     0.188,
 160, 0, 2.808, 2.808, 2.809, 0.001, 1, 2.809, 2.86, 0.051, 301048, -1, 2.86, 2.997, 0.137, 963,     0.189,
 169, 0, 2.919, 2.919, 2.919, 0, 1, 2.919, 2.956, 0.038, 374972, -1, 2.956, 3.007, 0.05, 551,     0.088,
 165, 0, 2.872, 2.872, 2.872, 0, 1, 2.872, 2.946, 0.075, 701339, -1, 2.946, 3.017, 0.07, 711,     0.145,
 164, 0, 2.85, 2.85, 2.86, 0.01, 1, 2.86, 2.936, 0.077, 722267, -1, 2.936, 3.037, 0.101, 982,     0.187,
 166, 0, 2.893, 2.893, 2.893, 0, 1, 2.893, 2.966, 0.074, 646854, -1, 2.966, 3.047, 0.08, 490,     0.154,
 170, 0, 2.921, 2.921, 2.931, 0.01, 1, 2.931, 2.984, 0.053, 524838, -1, 2.984, 3.087, 0.103, 878,     0.166,
 167, 0, 2.909, 2.909, 2.909, 0, 1, 2.909, 2.997, 0.088, 556383, -1, 2.997, 3.087, 0.09, 638,     0.178,
 171, 0, 2.948, 2.948, 2.948, 0, 1, 2.948, 3.024, 0.075, 723721, -1, 3.024, 3.106, 0.083, 582,     0.158,
 168, 0, 2.909, 2.909, 2.909, 0, 1, 2.909, 3.007, 0.098, 601374, -1, 3.007, 3.147, 0.14, 552,     0.238,
 174, 0, 3.039, 3.039, 3.039, 0, 1, 3.039, 3.067, 0.028, 483685, -1, 3.067, 3.147, 0.08, 769,     0.108,
 175, 0, 3.069, 3.069, 3.069, 0, 1, 3.069, 3.106, 0.037, 743277, -1, 3.106, 3.188, 0.081, 764,     0.119,
 172, 0, 2.993, 2.993, 2.993, 0, 1, 2.993, 3.057, 0.063, 656592, -1, 3.057, 3.211, 0.154, 636,     0.217,
 178, 0, 3.124, 3.124, 3.124, 0, 1, 3.124, 3.147, 0.023, 451928, -1, 3.147, 3.222, 0.075, 726,     0.098,
 176, 0, 3.107, 3.107, 3.107, 0, 1, 3.107, 3.118, 0.01, 142522, -1, 3.118, 3.242, 0.125, 428,     0.135,
 177, 0, 3.118, 3.118, 3.118, 0, 1, 3.118, 3.137, 0.019, 375475, -1, 3.137, 3.242, 0.105, 853,     0.124,
 179, 0, 3.138, 3.138, 3.138, 0, 1, 3.138, 3.188, 0.05, 590307, -1, 3.188, 3.265, 0.077, 730,     0.127,
 173, 0, 3.009, 3.009, 3.009, 0, 1, 3.009, 3.067, 0.058, 558407, -1, 3.067, 3.285, 0.218, 724,     0.276,
 181, 0, 3.159, 3.159, 3.159, 0, 1, 3.159, 3.222, 0.063, 573877, -1, 3.222, 3.317, 0.095, 912,     0.158,
 180, 0, 3.151, 3.151, 3.151, 0, 1, 3.151, 3.212, 0.062, 577482, -1, 3.212, 3.327, 0.115, 803,     0.176,
 182, 0, 3.16, 3.16, 3.16, 0, 1, 3.16, 3.178, 0.018, 154229, -1, 3.178, 3.347, 0.17, 547,     0.187,
 185, 0, 3.282, 3.282, 3.282, 0, 1, 3.282, 3.3, 0.018, 355397, -1, 3.3, 3.357, 0.057, 533,     0.075,
 184, 0, 3.255, 3.255, 3.265, 0.01, 1, 3.265, 3.279, 0.014, 277398, -1, 3.279, 3.367, 0.088, 830,     0.113,
 189, 0, 3.32, 3.32, 3.32, 0, 1, 3.32, 3.332, 0.012, 111532, -1, 3.332, 3.412, 0.08, 852,     0.092,
